V5 CDS Composites by Convention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Ticker,ShortName,RedCode,Tier,Ccy,DocClause,Contributor,Spread6m,Spread1y,Spread2y,Spread3y,Spread4y,Spread5y,Spread7y,Spread10y,Spread15y,Spread20y,Spread30y,Recovery,Rating6m,Rating1y,Rating2y,Rating3y,Rating4y,Rating5y,Rating7y,Rating10y,Rating15y,Rating20y,Rating30y,CompositeCurveRating,CompositeDepth5y,Sector,Region,Country,AvRating,ImpliedRating,CompositeLevel6m,CompositeLevel1y,CompositeLevel2y,CompositeLevel3y,CompositeLevel4y,CompositeLevel5y,CompositeLevel7y,CompositeLevel10y,CompositeLevel15y,CompositeLevel20y,CompositeLevel30y,CompositeLevelRecovery
30-Dec-16,ACAFP-CIB,Cr Agricole Corporate and Invt Bk,FH49EJ,SNRFOR,EUR,MM14,Composite,0.0018,0.0023,0.0034,0.0046,0.0058,0.0071,0.009,0.0101,0.0106,0.0109,0.0111,43.33%,A,A,A,A,A,A,BBB,BBB,BBB,BBB,BBB,A,3,Financials,Europe,France,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
30-Dec-16,ACAFP-CIB,Cr Agricole Corporate and Invt Bk,FH49EJ,SUBLT2,EUR,MM14,Composite,0.0049,0.0051,0.0067,0.0086,0.0105,0.0121,0.0145,0.0164,0.0174,0.0178,0.0182,23.33%,A,A,A,A,A,A,BBB,BBB,BBB,BBB,BBB,A,3,Financials,Europe,France,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
30-Dec-16,AIG,Amern Intl Gp Inc,028EFB,SNRFOR,USD,XR14,Composite,0.0012,0.0016,0.0029,0.0043,0.0062,0.008,0.0108,0.0127,0.0139,0.0143,0.0153,40.50%,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,NR,NR,NR,AAA,10,Financials,N.Amer,United States,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
30-Dec-16,AKBNK,Akbank TAS,MM3576,SNRFOR,USD,CR14,Composite,0.0214,0.0223,0.0272,0.0316,0.0351,0.039,0.045,0.047,0.0489,0.0492,0.0488,23.26%,B,B,B,B,B,B,A,A,NR,A,NR,BB,4,Financials,MiddleEast,Turkey,,B,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,CcyGrp,Thin,CcyGrp
30-Dec-16,ALGERI,People's Democratic Rep of Algeria,VZ5ACN,SNRFOR,USD,CR14,Composite,,,,,0.0047,0.0051,,,,,,25%,,,,,NR,NR,,,,,,NR,2,Government,Africa,Algeria,,AA,,,,,Thin,Thin,,,,,,Thin
30-Dec-16,ANZ,Aust & New Zld Bkg Gp Ltd,0F777A,SNRFOR,USD,MR14,Composite,0.0011,0.0013,0.0025,0.0039,0.0054,0.007,0.0092,0.0104,0.0107,0.0108,0.0109,40%,AA,AA,AA,AA,AA,AA,AA,A,NR,NR,NR,AA,8,Financials,Oceania,Australia,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
30-Dec-16,ANZ,Aust & New Zld Bkg Gp Ltd,0F777A,SUBLT2,USD,MR14,Composite,0.0021,0.0027,0.0051,0.0077,0.0106,0.0135,0.0167,0.0187,0.0186,0.0187,0.0189,20.71%,AA,AA,AA,AA,AA,AA,AA,A,NR,NR,NR,AA,8,Financials,Oceania,Australia,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
30-Dec-16,ARGENT,Argentine Rep,PP7D7E,SNRFOR,USD,CR14,Composite,0.0084,0.01,0.019,0.0272,0.0362,0.0421,0.0473,0.0509,0.0515,0.0516,0.0515,25%,A,A,BB,A,A,AA,AA,AA,NR,NR,NR,A,7,Government,Lat.Amer,Argentina,,B,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
30-Dec-16,ASIA,Asian Dev Bk,0E967D,SNRFOR,USD,CR14,Composite,0.0016,0.0017,0.0021,0.0027,0.0034,0.0042,0.0056,0.0067,0.0071,0.0074,0.0077,37.50%,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,Government,Supra,Supra National,,AA,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin
30-Dec-16,AUST,Rep Austria,0F77EA,SNRFOR,USD,CR14,Composite,0.0007,0.0008,0.0013,0.0017,0.0023,0.0029,0.004,0.0054,0.0062,0.0064,0.0066,38.33%,A,A,A,A,A,A,A,NR,NR,NR,NR,A,3,Government,Europe,Austria,,AAA,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,Thin,CcyGrp
30-Dec-16,AUSTLA,Comwlth Aust,QS973P,SECDOM,USD,MR14,Composite,0.0005,0.0006,0.001,0.0013,0.0017,0.0025,0.0039,0.0051,0.0054,0.0055,0.0056,40%,A,A,A,A,A,A,A,A,NR,NR,NR,A,3,Government,Oceania,Australia,,AAA,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
30-Dec-16,AUSTLA,Comwlth Aust,QS973P,SNRFOR,USD,MR14,Composite,0.0005,0.0006,0.001,0.0013,0.0017,0.0025,0.0039,0.0051,0.0054,0.0055,0.0056,40%,A,A,A,A,A,A,A,A,NR,NR,NR,A,3,Government,Oceania,Australia,,AAA,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
30-Dec-16,BACORP,Bk of America Corp,0G655D,SNRFOR,USD,XR14,Composite,0.0023,0.0029,0.0039,0.005,0.0061,0.0076,0.01,0.0118,0.0131,0.0137,0.0144,40.55%,AA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,NR,NR,NR,AAA,10,Financials,N.Amer,United States,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
30-Dec-16,BACORP,Bk of America Corp,0G655D,SUBLT2,USD,XR14,Composite,0.0032,0.0049,0.0062,0.0077,0.0091,0.0111,0.0138,0.016,0.0178,0.0188,0.0195,20.00%,AA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,NR,NR,NR,AAA,10,Financials,N.Amer,United States,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
30-Dec-16,BACR-Bank,Barclays Bk plc,06DABK,SNRFOR,EUR,MM14,Composite,0.0029,0.0036,0.0045,0.0057,0.007,0.0082,0.0103,0.0116,0.0121,0.0124,0.0125,40%,AA,A,AA,AA,AA,AA,AA,AA,NR,NR,NR,AA,7,Financials,Europe,United Kingdom,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
30-Dec-16,BACR-Bank,Barclays Bk plc,06DABK,SUBLT2,EUR,MM14,Composite,0.0058,0.0068,0.0098,0.0127,0.0155,0.0181,0.0203,0.0217,0.0224,0.0227,0.0228,20%,AA,A,AA,AA,AA,AA,AA,AA,NR,NR,NR,AA,7,Financials,Europe,United Kingdom,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
