V5 CDS Composites by Convention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Ticker,ShortName,RedCode,Tier,Ccy,DocClause,Contributor,Spread6m,Spread1y,Spread2y,Spread3y,Spread4y,Spread5y,Spread7y,Spread10y,Spread15y,Spread20y,Spread30y,Recovery,Rating6m,Rating1y,Rating2y,Rating3y,Rating4y,Rating5y,Rating7y,Rating10y,Rating15y,Rating20y,Rating30y,CompositeCurveRating,CompositeDepth5y,Sector,Region,Country,AvRating,ImpliedRating,CompositeLevel6m,CompositeLevel1y,CompositeLevel2y,CompositeLevel3y,CompositeLevel4y,CompositeLevel5y,CompositeLevel7y,CompositeLevel10y,CompositeLevel15y,CompositeLevel20y,CompositeLevel30y,CompositeLevelRecovery
30-Jun-16,ACAFP-CIB,Cr Agricole Corporate and Invt Bk,FH49EJ,SNRFOR,EUR,MM14,Composite,0.0033,0.0039,0.0051,0.0065,0.008,0.0094,0.0115,0.0128,0.0134,0.0136,0.0139,40%,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,Financials,Europe,France,,A,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin
30-Jun-16,AIG,Amern Intl Gp Inc,028EFB,SNRFOR,USD,XR14,Composite,0.0014,0.0018,0.0032,0.0046,0.0066,0.0085,0.0113,0.0131,0.0143,0.0148,0.0155,44.29%,AA,AA,AA,AA,AA,AA,AA,A,BBB,BBB,BBB,AA,6,Financials,N.Amer,United States,,AA,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,AKBNK,Akbank TAS,MM3576,SNRFOR,USD,CR14,Composite,0.0093,0.011,0.0181,0.0251,0.0298,0.0342,0.0385,0.0412,0.0429,0.0439,0.0436,23.33%,B,B,B,B,BBB,A,BBB,B,NR,B,NR,BB,3,Financials,MiddleEast,Turkey,,B,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,CcyGrp,Thin,Entity Tier
30-Jun-16,ALGERI,People's Democratic Rep of Algeria,VZ5ACN,SNRFOR,USD,CR14,Composite,0.0115,0.0116,0.0116,0.0116,0.0116,0.0116,,,,,,25%,NR,NR,NR,NR,NR,NR,,,,,,NR,2,Government,Africa,Algeria,,A,Thin,Thin,Thin,Thin,Thin,Thin,,,,,,Thin
30-Jun-16,ANZ,Aust & New Zld Bkg Gp Ltd,0F777A,SNRFOR,USD,MR14,Composite,0.0011,0.0016,0.0032,0.0048,0.0066,0.0083,0.0108,0.0118,,,,40%,AA,A,A,A,A,BB,B,B,,,,BBB,5,Financials,Oceania,Australia,,AA,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,,,,Entity Tier
30-Jun-16,ANZ,Aust & New Zld Bkg Gp Ltd,0F777A,SUBLT2,USD,MR14,Composite,0.003,0.0035,0.0063,0.0093,0.0124,0.0153,0.0189,0.021,0.0216,0.0219,0.0221,20%,A,A,BB,BB,BB,BB,BB,BB,NR,NR,NR,BB,5,Financials,Oceania,Australia,,AA,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,Entity Tier
30-Jun-16,ARGENT,Argentine Rep,PP7D7E,SNRFOR,USD,CR14,Composite,0.0112,0.0162,0.0221,0.0302,0.0367,0.0421,0.047,0.0501,0.0502,0.0503,0.05,25%,BB,A,BB,A,A,A,A,A,BBB,B,B,BBB,5,Government,Lat.Amer,Argentina,,B,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,ASIA,Asian Dev Bk,0E967D,SNRFOR,USD,CR14,Composite,,0.0015,,0.0022,,0.0032,0.0043,0.0048,,,,40%,,NR,,NR,,NR,NR,NR,,,,NR,2,Government,Supra,Supra National,,AAA,,Thin,,Thin,,Thin,Thin,Thin,,,,Thin
30-Jun-16,AUST,Rep Austria,0F77EA,SNRFOR,USD,CR14,Composite,0.0009,0.0011,0.0016,0.0021,0.0026,0.0032,0.0044,0.0058,0.007,0.0071,0.0073,40%,AA,AA,AA,AA,AA,AA,AA,AA,B,B,BBB,A,5,Government,Europe,Austria,,AAA,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Entity Tier
30-Jun-16,AUSTLA,Comwlth Aust,QS973P,SNRFOR,USD,MR14,Composite,0.0006,0.0007,0.0013,0.0019,0.0027,0.0036,0.0052,0.0064,0.0069,0.0071,0.0073,40%,BB,BB,A,A,A,A,A,A,NR,NR,NR,BBB,4,Government,Oceania,Australia,,AAA,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,Entity Tier
