Expiry,ATM,1.00%,1.50%,2.00%,3.00%,3.50%,4.00%,5.00%,6.00%,7.00%,8.00%,9.00%,10.00%,11.00%,12.00%,13.00%,14.00%
1Yr,20.06,22.1,19.98,19.97,23.77,25.6,27.22,29.94,32.15,34.01,35.59,36.99,38.23,39.34,40.34,41.27,42.12
2Yr,30.79,35.1,30.55,31.88,31.86,31.45,31.13,30.8,30.74,30.84,31.01,31.23,31.46,31.69,31.92,32.14,32.35
3Yr,31.46,38.9,32.23,30.96,28.72,28.15,27.9,27.91,28.23,28.65,29.09,29.51,29.89,30.24,30.57,30.88,31.16
4Yr,33.25,44.77,35.54,32.59,29.28,28.6,28.32,28.38,28.72,29.14,29.55,29.93,30.28,30.59,30.89,31.15,31.39
5Yr,34.06,47.98,37.73,33.8,29.7,28.85,28.46,28.34,28.58,28.92,29.28,29.61,29.93,30.23,30.51,30.76,30.98
6Yr,33.86,46.35,37.66,34.05,30.34,29.51,29.04,28.58,28.37,28.26,28.2,28.18,28.19,28.22,28.26,28.32,28.38
7Yr,38.18,54.8,43.66,38.89,34.36,33.27,32.52,31.47,30.66,30.01,29.47,29.03,28.65,28.36,28.11,27.91,27.75
8Yr,35.58,53.17,42.02,36.8,31.69,30.65,30.03,29.35,28.95,28.7,28.57,28.55,28.62,28.76,28.95,29.18,29.44
9Yr,33.72,52.04,40.89,35.41,29.91,28.8,28.22,27.68,27.46,27.39,27.42,27.53,27.72,27.94,28.2,28.48,28.76
10Yr,32.64,50.11,39.79,34.57,29.29,28.21,27.63,27.11,26.94,26.93,27.02,27.19,27.41,27.66,27.94,28.23,28.52
12Yr,31.76,48.07,38.84,33.99,29,27.89,27.24,26.55,26.24,26.11,26.1,26.17,26.3,26.44,26.63,26.8,26.99
15Yr,32.88,50.73,40.92,35.69,30.28,28.97,28.1,27.03,26.42,26.06,25.84,25.73,25.68,25.68,25.71,25.76,25.81
20Yr,31.1,47.76,38.93,34.1,28.98,27.69,26.84,25.81,25.27,24.99,24.86,24.83,24.85,24.91,24.99,25.09,25.19
25Yr,29.94,46.7,37.86,33.02,27.98,26.73,25.91,24.99,24.57,24.38,24.35,24.39,24.48,24.6,24.73,24.86,25.01
30Yr,28.91,45.77,36.84,31.98,27.02,25.85,25.1,24.32,24.02,23.95,24.01,24.13,24.29,24.46,24.64,24.84,25.02
