REFERENCE,CURRENCY,INDEX,CURVENAME,DAYS,ZERORATE,Date,DF
1-Mar-21,EUR,ESTR,EUR_ESTR,1,-0.0057387,3/2/2021,1.000015723
1-Mar-21,EUR,ESTR,EUR_ESTR,2,-0.0057363,3/3/2021,1.000031432
1-Mar-21,EUR,ESTR,EUR_ESTR,3,-0.005734,3/4/2021,1.00004713
1-Mar-21,EUR,ESTR,EUR_ESTR,4,-0.0057318,3/5/2021,1.000062816
1-Mar-21,EUR,ESTR,EUR_ESTR,7,-0.0057258,3/8/2021,1.000109816
1-Mar-21,EUR,ESTR,EUR_ESTR,16,-0.0057211,3/17/2021,1.000250819
1-Mar-21,EUR,ESTR,EUR_ESTR,23,-0.00573,3/24/2021,1.000361134
1-Mar-21,EUR,ESTR,EUR_ESTR,36,-0.0057302,4/6/2021,1.00056533
1-Mar-21,EUR,ESTR,EUR_ESTR,63,-0.0057412,5/3/2021,1.000991438
1-Mar-21,EUR,ESTR,EUR_ESTR,94,-0.0057526,6/3/2021,1.001482589
1-Mar-21,EUR,ESTR,EUR_ESTR,126,-0.0057741,7/5/2021,1.001995239
1-Mar-21,EUR,ESTR,EUR_ESTR,155,-0.0057855,8/3/2021,1.002459877
1-Mar-21,EUR,ESTR,EUR_ESTR,186,-0.0057971,9/3/2021,1.002958506
1-Mar-21,EUR,ESTR,EUR_ESTR,217,-0.0058087,10/4/2021,1.003459361
1-Mar-21,EUR,ESTR,EUR_ESTR,247,-0.0058203,11/3/2021,1.003946436
1-Mar-21,EUR,ESTR,EUR_ESTR,277,-0.0058318,12/3/2021,1.004435585
1-Mar-21,EUR,ESTR,EUR_ESTR,308,-0.0058333,1/3/2022,1.004934481
1-Mar-21,EUR,ESTR,EUR_ESTR,339,-0.005845,2/3/2022,1.005443406
1-Mar-21,EUR,ESTR,EUR_ESTR,367,-0.0058463,3/3/2022,1.005895646
1-Mar-21,EUR,ESTR,EUR_ESTR,459,-0.0058641,6/3/2022,1.007401564
1-Mar-21,EUR,ESTR,EUR_ESTR,553,-0.0058842,9/5/2022,1.008954823
1-Mar-21,EUR,ESTR,EUR_ESTR,644,-0.0059157,12/5/2022,1.010492225
1-Mar-21,EUR,ESTR,EUR_ESTR,732,-0.0059075,3/3/2023,1.011917828
1-Mar-21,EUR,ESTR,EUR_ESTR,1099,-0.0057053,3/4/2024,1.017326821
1-Mar-21,EUR,ESTR,EUR_ESTR,1463,-0.0053413,3/3/2025,1.02163992
1-Mar-21,EUR,ESTR,EUR_ESTR,1828,-0.0048462,3/3/2026,1.024567766
1-Mar-21,EUR,ESTR,EUR_ESTR,2193,-0.0042399,3/3/2027,1.02580149
1-Mar-21,EUR,ESTR,EUR_ESTR,2559,-0.0036127,3/3/2028,1.025651983
1-Mar-21,EUR,ESTR,EUR_ESTR,2926,-0.0029845,3/5/2029,1.024213561
